"","formula","exit_status.LTL2SDBA","exit_status.LTL2SDBA+Opt","exit_status.S+S","exit_status.S+SOpt","exit_status.ltl2ldba","exit_status.ltl2ldbaOpt","exit_code.LTL2SDBA","exit_code.LTL2SDBA+Opt","exit_code.S+S","exit_code.S+SOpt","exit_code.ltl2ldba","exit_code.ltl2ldbaOpt","time.LTL2SDBA","time.LTL2SDBA+Opt","time.S+S","time.S+SOpt","time.ltl2ldba","time.ltl2ldbaOpt","states.LTL2SDBA","states.LTL2SDBA+Opt","states.S+S","states.S+SOpt","states.ltl2ldba","states.ltl2ldbaOpt","edges.LTL2SDBA","edges.LTL2SDBA+Opt","edges.S+S","edges.S+SOpt","edges.ltl2ldba","edges.ltl2ldbaOpt","transitions.LTL2SDBA","transitions.LTL2SDBA+Opt","transitions.S+S","transitions.S+SOpt","transitions.ltl2ldba","transitions.ltl2ldbaOpt","acc.LTL2SDBA","acc.LTL2SDBA+Opt","acc.S+S","acc.S+SOpt","acc.ltl2ldba","acc.ltl2ldbaOpt","scc.LTL2SDBA","scc.LTL2SDBA+Opt","scc.S+S","scc.S+SOpt","scc.ltl2ldba","scc.ltl2ldbaOpt","nondet_states.LTL2SDBA","nondet_states.LTL2SDBA+Opt","nondet_states.S+S","nondet_states.S+SOpt","nondet_states.ltl2ldba","nondet_states.ltl2ldbaOpt","nondet_aut.LTL2SDBA","nondet_aut.LTL2SDBA+Opt","nondet_aut.S+S","nondet_aut.S+SOpt","nondet_aut.ltl2ldba","nondet_aut.ltl2ldbaOpt","complete_aut.LTL2SDBA","complete_aut.LTL2SDBA+Opt","complete_aut.S+S","complete_aut.S+SOpt","complete_aut.ltl2ldba","complete_aut.ltl2ldbaOpt","product_states.LTL2SDBA","product_states.LTL2SDBA+Opt","product_states.S+S","product_states.S+SOpt","product_states.ltl2ldba","product_states.ltl2ldbaOpt","product_transitions.LTL2SDBA","product_transitions.LTL2SDBA+Opt","product_transitions.S+S","product_transitions.S+SOpt","product_transitions.ltl2ldba","product_transitions.ltl2ldbaOpt","product_scc.LTL2SDBA","product_scc.LTL2SDBA+Opt","product_scc.S+S","product_scc.S+SOpt","product_scc.ltl2ldba","product_scc.ltl2ldbaOpt"
"1","!((!((!((p0) | (p1))) U (p2))) & (G((p3) -> (!((!((p0) | (p1))) U (p2))))))","ok","ok","ok","ok","ok","ok",0,0,0,0,0,0,0.00442094,0.0228857,0.019834,0.0282809,1.02311,1.12481,5,3,3,3,3,3,11,7,7,7,7,7,93,48,48,48,48,48,1,1,1,1,1,1,5,2,2,2,2,2,3,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,789,589,589,589,589,589,19057,12072,12072,12072,12072,12072,29,4,4,4,4,4
"2","!((!(p0)) U (G(!(((p1) & (p2)) | ((p3) & (p4)) | ((p2) & (p3)) | ((p2) & (p4)) | ((p1) & (p4)) | ((p1) & (p3))))))","ok","ok","ok","ok","ok","ok",0,0,0,0,0,0,0.0273966,0.0359794,0.0191659,0.0242819,1.1241,1.15776,13,6,3,3,4,4,42,13,7,7,9,9,500,224,96,96,144,144,1,1,1,1,1,1,8,5,3,3,4,4,3,1,0,0,1,1,1,1,0,0,1,1,0,1,1,1,1,1,2585,1200,600,600,800,800,65555,29631,12699,12699,18989,18989,209,205,4,4,5,5
"3","!((!(p0)) U (p1))","ok","ok","ok","ok","ok","ok",0,0,0,0,0,0,0.00312234,0.016267,0.0183025,0.0239745,0.848836,0.806394,6,4,2,2,2,2,10,6,3,3,3,3,21,14,6,6,6,6,1,1,1,1,1,1,6,4,2,2,2,2,2,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1196,798,398,398,398,398,21885,14588,6263,6263,6263,6263,211,206,5,5,5,5
"4","!((!(p0)) W ((!(p0)) & (p1)))","ok","ok","ok","ok","ok","ok",0,0,0,0,0,0,0.00267475,0.00902424,0.0148291,0.0241426,0.817168,0.796702,3,2,2,2,2,2,5,3,3,3,3,3,15,7,7,7,7,7,1,1,1,1,1,1,3,2,2,2,2,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,600,400,400,400,400,400,15382,7184,7184,7184,7184,7184,6,5,5,5,5,5
"5","!((!(p0)) W ((p0) W ((!(p0)) W ((p0) W (G(!(p0)))))))","ok","ok","ok","ok","ok","ok",0,0,0,0,0,0,0.00278444,0.00901346,0.0177569,0.0205437,0.93926,0.938429,7,6,6,6,6,6,13,11,11,11,11,11,20,12,12,12,12,12,1,1,1,1,1,1,7,6,6,6,6,6,5,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1400,1200,1200,1200,1200,1200,41950,25170,25170,25170,25170,25170,7,6,6,6,6,6
"6","!((!(p0)) W (p1))","ok","ok","ok","ok","ok","ok",0,0,0,0,0,0,0.0027177,0.00916007,0.013713,0.0230699,0.818305,0.940818,3,2,2,2,2,2,5,3,3,3,3,3,14,6,6,6,6,6,1,1,1,1,1,1,3,2,2,2,2,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,401,201,201,201,201,201,12506,4170,4170,4170,4170,4170,3,2,2,2,2,2
"7","!(((G(F(p1))) & (G(F(p0)))) -> (G(F(p2))))","ok","ok","ok","ok","ok","ok",0,0,0,0,0,0,0.022996,0.0388055,0.0304003,0.0223185,1.05635,1.1783,47,6,2,2,3,3,373,20,6,6,7,7,408,32,15,15,24,24,1,1,2,2,1,1,19,3,2,2,2,2,9,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,8699,1163,400,400,599,599,195965,16664,7995,7995,12766,12766,1516,202,2,2,2,2
"8","!(((X(p0)) U (X(p1))) | (!(X((p0) U (p1)))))","ok","ok","ok","ok","ok","ok",0,0,0,0,0,0,0.00319831,0.00969598,0.0148207,0.02631,0.925352,0.956807,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1
"9","!(((X(p0)) U (p1)) | (!(X((p0) U ((p0) & (p1))))))","ok","ok","ok","ok","ok","ok",0,0,0,0,0,0,0.00297053,0.0093817,0.0190112,0.0232482,1.04154,1.04806,1,1,1,1,2,1,0,0,0,0,2,0,0,0,0,0,3,0,1,0,0,0,1,0,1,1,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1
"10","!(((p0) & (X(p1))) R (X((((p2) U (p3)) R (p0)) U ((p2) R (p0)))))","ok","ok","ok","ok","ok","ok",0,0,0,0,0,0,0.0105976,0.0283445,0.0203334,0.0231207,1.07979,1.08768,16,7,5,5,6,6,51,16,10,10,17,15,262,63,37,37,112,52,1,1,1,1,1,1,9,5,5,5,6,6,5,3,0,0,4,3,1,1,0,0,1,1,0,0,0,0,0,0,3123,1400,610,610,810,810,67909,32857,11161,11161,17035,14911,421,205,15,15,16,16
