formula;tool;exit_status;exit_code;time;states;edges;transitions;acc;scc;nondet_states;nondet_aut;complete_aut;product_states;product_transitions;product_scc
0;ltl2ldba;ok;0;0.695581;1;0;0;1;1;0;0;0;1;0;1
0;ltl2ldbaOpt;ok;0;0.922091;1;0;0;0;1;0;0;0;1;0;1
0;S+S;ok;0;0.021098;1;0;0;0;1;0;0;0;1;0;1
0;S+SOpt;ok;0;0.0296325;1;0;0;0;1;0;0;0;1;0;1
0;LTL2SDBA;ok;0;0.00598226;1;0;0;1;1;0;0;0;1;0;1
0;LTL2SDBA+Opt;ok;0;0.0102883;1;0;0;0;1;0;0;0;1;0;1
1;ltl2ldba;ok;0;0.782529;1;1;1;1;1;0;0;1;200;4199;1
1;ltl2ldbaOpt;ok;0;1.42211;1;1;1;1;1;0;0;1;200;4199;1
1;S+S;ok;0;0.0459538;1;1;1;1;1;0;0;1;200;4199;1
1;S+SOpt;ok;0;0.0420974;1;1;1;1;1;0;0;1;200;4199;1
1;LTL2SDBA;ok;0;0.0088833;2;3;3;1;2;1;1;1;400;12597;2
1;LTL2SDBA+Opt;ok;0;0.0293978;1;1;1;1;1;0;0;1;200;4199;1
!((F(!(p1))) M (1));ltl2ldba;ok;0;1.04946;1;1;1;1;1;0;0;0;200;2059;1
!((F(!(p1))) M (1));ltl2ldbaOpt;ok;0;1.54763;1;1;1;1;1;0;0;0;200;2059;1
!((F(!(p1))) M (1));S+S;ok;0;0.0190173;1;1;1;1;1;0;0;0;200;2059;1
!((F(!(p1))) M (1));S+SOpt;ok;0;0.026267;1;1;1;1;1;0;0;0;200;2059;1
!((F(!(p1))) M (1));LTL2SDBA;ok;0;0.0104624;2;3;3;1;2;1;1;0;400;6177;2
!((F(!(p1))) M (1));LTL2SDBA+Opt;ok;0;0.0236782;2;2;2;1;2;0;0;0;201;2071;2
(F(!(p1))) M (1);ltl2ldba;ok;0;0.903546;2;3;4;1;2;0;0;1;400;8264;2
(F(!(p1))) M (1);ltl2ldbaOpt;ok;0;1.0584;2;3;4;1;2;0;0;1;400;8264;2
